sigmaxx,M,c,I,units
1.461,0,0,0,0
1.46,0,0,0,0
17.31,0,0,1,0
1.46,0,0,0,0
1.46,0,0,0,0
1.17,0,1,0,0
1.461,0,0,0,0
240,1,1,1,1
210.39,0,0,0,1
1.46,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
0.1219,0,0,0,1
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
0.0101,0,0,0,1
1.461,0,0,0,0
1.461,0,0,0,0
1.75,0,0,1,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
0.365,0,0,1,0
1.46,0,0,0,0
210.4,0,0,0,1
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.4613,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
0.9,0,0,1,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
0.425,0,1,0,0
1.46,0,0,0,0
1.46,0,0,0,0
0,0,0,1,0
1.46,0,0,0,0
11.69,0,0,1,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
6.92,0,0,1,0
1.46,0,0,0,0
515.31,0,0,1,1
1.75,0,0,1,0
1.461,0,0,0,0
1.46,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.461,0,0,0,0
1.46,0,0,0,0
1.75,0,0,1,0
